user_id ID,gender,province,education_level,employment_status,main_fintech_app,investment_type,loan_usage_purpose,outstanding_loan,financial_anxiety_score,digital_time_spent_per_day,income_clean,expense_clean,ewallet_spending_clean,age,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
U0081,Female,Maluku Utara,Elementary School,Private Employee,GoPay,Saham,Konsumsi,15470770.0,5,6.9,4000001.0,4000001.0,500001.0,15,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0082,Female,Aceh,Junior High School,Not Working,Akulaku,Reksadana,Konsumsi,17295726.0,1,9.5,2000000.0,2000000.0,500001.0,26,102897,1.63,615.0,0.82,70593,196.9,5626.0,43782,43.2
U0083,Male,Sulawesi Tenggara,Senior High School,Student,LinkAja,Reksadana,Pendidikan,12620232.0,3,4.9,2000001.0,4000001.0,500000.0,20,140184,0.27,529.0,1.44,69118,701.29,2836.7,67840,48.3
U0084,Male,Bengkulu,Bachelor (S1)/Diploma IV,Private Employee,LinkAja,Reksadana,Konsumsi,3960054.0,5,7.5,10000001.0,6000001.0,500000.0,14,138784,0.36,358.0,1.75,68108,478.3,2138.0,49233,35.6
U0085,Male,Sumatera Utara,Senior High School,Private Employee,Kredivo,Kripto,Usaha,13842899.0,2,8.4,4000001.0,4000001.0,500001.0,13,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0086,Male,Kalimantan Utara,Senior High School,Private Employee,Akulaku,Emas,Tidak Ada,0.0,5,6.6,4000001.0,4000001.0,500001.0,20,39135,0.15,84.0,3.08,20761,133.66,749.4,198429,58.4
U0087,Female,Riau,Junior High School,Civil Servant/BUMN,Kredivo,Saham,Tidak Ada,0.0,2,2.6,15000000.0,15000000.0,500001.0,17,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
U0088,Female,Nusa Tenggara Timur,Diploma I/II/III,Student,GoPay,Saham,Tidak Ada,0.0,1,9.5,2000000.0,2000000.0,500001.0,25,226040,0.72,8249.0,1.41,74766,753.13,5742.6,24272,34.6
U0089,Female,Sulawesi Tengah,Bachelor (S1)/Diploma IV,Private Employee,Akulaku,Reksadana,Tidak Ada,0.0,5,8.9,4000001.0,4000001.0,500001.0,13,177868,0.64,665.0,1.54,77106,598.93,3156.1,120750,43.1
U0090,Male,DKI Jakarta,Senior High School,Student,Dana,Saham,Konsumsi,11536931.0,4,7.6,2000000.0,2000000.0,500001.0,24,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
U0091,Male,DKI Jakarta,Bachelor (S1)/Diploma IV,Civil Servant/BUMN,GoPay,Emas,Konsumsi,13809699.0,4,7.1,10000001.0,6000001.0,3000000.0,13,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
U0092,Female,Sumatera Barat,Postgraduate,Others,OVO,No Investment,Tidak Ada,0.0,4,2.5,2000001.0,4000001.0,500000.0,17,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
U0093,Female,Jawa Barat,Senior High School,Student,Akulaku,Saham,Pendidikan,18213448.0,4,8.9,2000001.0,4000001.0,500001.0,18,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
U0094,Female,Sumatera Barat,Senior High School,Entrepreneur,LinkAja,Emas,Pendidikan,2468487.0,4,10.7,10000001.0,6000001.0,500000.0,19,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
U0095,Female,Sulawesi Selatan,Senior High School,Student,LinkAja,Emas,Pendidikan,15265898.0,2,4.2,2000000.0,2000000.0,500001.0,24,609232,6.63,7617.0,1.67,354031,2038.05,9563.1,73573,59.6
U0096,Male,Sumatera Utara,Bachelor (S1)/Diploma IV,Private Employee,Kredivo,No Investment,Pendidikan,1919702.0,5,10.4,4000001.0,4000001.0,1000001.0,25,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0097,Female,Banten,Senior High School,Others,Kredivo,Saham,Gaya,17329964.0,1,9.8,6000001.0,10000001.0,3000000.0,24,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0098,Male,Sumatera Utara,Diploma I/II/III,Student,ShopeePay,Reksadana,Usaha,12879789.0,4,4.1,2000000.0,2000000.0,500000.0,24,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0099,Male,Sulawesi Barat,Bachelor (S1)/Diploma IV,Student,LinkAja,Saham,Gaya,9999835.0,4,6.0,2000001.0,4000001.0,3000000.0,15,57874,0.12,247.0,1.19,25633,230.51,1525.3,42718,23.1
U0100,Male,Kalimantan Barat,Senior High School,Civil Servant/BUMN,Kredivo,Emas,Tidak Ada,0.0,1,3.5,10000001.0,6000001.0,500000.0,21,277057,4.73,4654.0,1.54,151011,855.65,5766.0,52703,47.9
U0101,Male,Papua Barat Daya,Bachelor (S1)/Diploma IV,Student,Akulaku,Kripto,Pendidikan,17305885.0,1,6.8,2000001.0,4000001.0,500001.0,27,11793,1.7,1.0,0.88,5691,24.05,1484.9,59064,58.4
U0102,Female,Sulawesi Tenggara,Senior High School,Private Employee,Kredivo,Reksadana,Pendidikan,12434834.0,4,8.1,6000001.0,10000001.0,500000.0,13,140184,0.27,529.0,1.44,69118,701.29,2836.7,67840,48.3
U0103,Male,Sulawesi Utara,Senior High School,Not Working,Dana,Saham,Konsumsi,19246603.0,2,3.7,2000001.0,4000001.0,1000001.0,14,269034,0.78,1493.0,1.35,152307,976.3,2721.4,69352,68.7
U0104,Female,Maluku Utara,Diploma I/II/III,Civil Servant/BUMN,Akulaku,Saham,Pendidikan,4129331.0,1,8.0,10000001.0,6000001.0,500001.0,13,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0105,Female,Kepulauan Riau,Bachelor (S1)/Diploma IV,Student,ShopeePay,Reksadana,Tidak Ada,0.0,5,8.6,2000000.0,2000000.0,500001.0,13,309076,7.83,9212.0,1.8,180411,993.02,10678.0,161424,85.3
U0106,Male,Papua Barat,Senior High School,Civil Servant/BUMN,OVO,Emas,Tidak Ada,0.0,5,8.6,4000001.0,2000001.0,1000001.0,25,32690,0.15,97.0,1.32,17755,89.41,587.6,131636,44.4
U0107,Male,Jawa Tengah,Bachelor (S1)/Diploma IV,Private Employee,ShopeePay,Reksadana,Tidak Ada,0.0,2,8.1,4000001.0,4000001.0,500000.0,21,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
U0108,Female,Papua Selatan,Bachelor (S1)/Diploma IV,Student,Akulaku,Emas,Konsumsi,14952475.0,3,3.9,2000001.0,4000001.0,500000.0,16,6267,1.7,2214.0,1.24,3118,14.24,1492.3,61583,58.4
U0109,Male,Banten,Senior High School,Private Employee,OVO,Saham,Gaya,10756299.0,2,6.7,4000001.0,4000001.0,1000001.0,16,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0110,Male,Kalimantan Selatan,Postgraduate,Private Employee,LinkAja,Reksadana,Gaya,6817197.0,4,7.9,6000001.0,10000001.0,500001.0,25,336953,2.29,2214.0,2.0,190913,958.78,4323.3,67117,59.8
U0111,Male,Kalimantan Barat,Junior High School,Private Employee,ShopeePay,Reksadana,Usaha,4129331.0,3,10.7,4000001.0,4000001.0,500000.0,15,277057,4.73,4654.0,1.54,151011,855.65,5766.0,52703,47.9
U0112,Male,Sulawesi Selatan,Senior High School,Student,GoPay,Kripto,Gaya,10065697.0,4,7.0,2000001.0,4000001.0,500001.0,24,609232,6.63,7617.0,1.67,354031,2038.05,9563.1,73573,59.6
U0113,Female,Banten,Senior High School,Private Employee,OVO,Reksadana,Usaha,5508029.0,5,8.1,2000001.0,4000001.0,500001.0,24,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0114,Female,Papua,Bachelor (S1)/Diploma IV,Student,OVO,Reksadana,Gaya,19877233.0,1,4.7,2000001.0,4000001.0,500000.0,19,75024,0.52,343.0,1.17,39157,221.27,636.4,59064,41.5
U0115,Female,Maluku Utara,Diploma I/II/III,Student,LinkAja,Reksadana,Tidak Ada,0.0,4,4.1,2000000.0,2000000.0,500000.0,18,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0116,Female,Sulawesi Tengah,Senior High School,Not Working,OVO,Emas,Konsumsi,10211646.0,5,3.8,2000000.0,2000000.0,500000.0,18,177868,0.64,665.0,1.54,77106,598.93,3156.1,120750,43.1
U0117,Female,Sulawesi Utara,Senior High School,Private Employee,GoPay,Reksadana,Tidak Ada,0.0,2,5.9,2000001.0,4000001.0,500001.0,26,269034,0.78,1493.0,1.35,152307,976.3,2721.4,69352,68.7
U0118,Male,Sumatera Utara,Diploma I/II/III,Student,Akulaku,Kripto,Konsumsi,8806411.0,4,12.2,2000001.0,4000001.0,1000001.0,14,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0119,Female,Jawa Barat,Junior High School,Student,Akulaku,Kripto,Konsumsi,4129331.0,5,6.0,2000001.0,2000000.0,3000000.0,23,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
